time,signal
0.000000,-2.49856
0.000004,2.49734
0.000008,0.0
0.000012,-0.00366
0.000016,-0.00122
0.000020,0.00122
0.000024,-0.00122
0.000028,-0.00122
0.000032,-0.00122
0.000036,0.0
0.000040,0.00122
0.000044,-0.00122
0.000048,-0.00488
0.000052,-0.00122
0.000056,-0.00122
0.000060,-0.00244
0.000064,-0.00122
0.000068,-0.00122
0.000072,0.0
0.000076,-0.00122
0.000080,-0.00122
0.000084,-0.00122
0.000088,-0.00122
0.000092,-0.00244
0.000096,-0.00122
0.000100,-0.00122
0.000104,-0.00366
0.000108,-0.00122
0.000112,-0.00122
0.000116,-0.00122
0.000120,-0.00122
0.000124,-0.00122
0.000128,-0.00488
0.000132,-0.00122
0.000136,0.0
0.000140,-0.00122
0.000144,-0.00122
0.000148,-0.00122
0.000152,-0.00122
0.000156,-0.00122
0.000160,-0.00122
0.000164,0.0
0.000168,-0.00122
0.000172,-0.00488
0.000176,-0.00122
0.000180,-0.00122
0.000184,-0.00122
0.000188,-0.00122
0.000192,0.0
0.000196,-0.00122
0.000200,-0.00122
0.000204,-0.00122
0.000208,0.0
0.000212,-0.00122
0.000216,0.008539999999999999
0.000220,-0.00122
0.000224,-0.00122
0.000228,0.00122
0.000232,-0.00122
0.000236,-0.00122
0.000240,-0.00122
0.000244,0.0
0.000248,0.0
0.000252,-0.00122
0.000256,-0.00122
0.000260,0.00122
0.000264,-0.00122
0.000268,-0.00122
0.000272,0.00122
0.000276,-0.00122
0.000280,-0.00122
0.000284,-0.00122
0.000288,0.0
0.000292,-0.00122
0.000296,0.00488
0.000300,-0.00122
0.000304,-0.00122
0.000308,-0.00122
0.000312,-0.00122
0.000316,-0.00122
0.000320,-0.00122
0.000324,0.0
0.000328,-0.00122
0.000332,-0.00122
0.000336,-0.00122
0.000340,0.00488
0.000344,-0.00122
0.000348,-0.00122
0.000352,-0.00122
0.000356,-0.00122
0.000360,-0.00122
0.000364,-0.00122
0.000368,-0.00122
0.000372,-0.00122
0.000376,-0.00122
0.000380,-0.00122
0.000384,-0.00366
0.000388,-0.00122
0.000392,-0.00122
0.000396,0.0
0.000400,-0.00122
0.000404,-0.00122
0.000408,-0.00122
0.000412,-0.00122
0.000416,-0.00122
0.000420,0.00122
0.000424,-0.00122
0.000428,-0.00122
0.000432,-0.00122
0.000436,-0.00122
0.000440,-0.00244
0.000444,-0.00122
0.000448,-0.00122
0.000452,-0.00122
0.000456,-0.00122
0.000460,-0.00122
0.000464,-0.00122
0.000468,-0.00122
0.000472,-0.00122
0.000476,-0.00122
0.000480,-0.00244
0.000484,0.0
0.000488,-0.00122
0.000492,-0.00122
0.000496,-0.00122
0.000500,-0.00244
0.000504,-0.00122
0.000508,-0.01098
0.000512,-0.00122
0.000516,-0.00122
0.000520,-0.00122
0.000524,-0.00122
0.000528,-0.00122
0.000532,-0.00122
0.000536,-0.00244
0.000540,-0.00122
0.000544,-0.00122
0.000548,-0.00122
0.000552,-0.00366
0.000556,-0.00122
0.000560,-0.00244
0.000564,-0.00122
0.000568,-0.00122
0.000572,-0.00122
0.000576,-0.00122
0.000580,-0.00122
0.000584,-0.00122
0.000588,-0.00366
0.000592,-0.00122
0.000596,-0.00122
0.000600,-0.00122
0.000604,-0.00244
0.000608,-0.00122
0.000612,-0.00122
0.000616,-0.00244
0.000620,-0.00122
0.000624,-0.00122
0.000628,-0.00122
0.000632,0.0
0.000636,-0.00122
0.000640,-0.00244
0.000644,-0.00122
0.000648,-0.00244
0.000652,-0.00244
0.000656,-0.00122
0.000660,0.0
0.000664,-0.00122
0.000668,-0.00122
0.000672,-0.00122
0.000676,0.008539999999999999
0.000680,-0.00244
0.000684,-0.00244
0.000688,-0.00244
0.000692,-0.00122
0.000696,-0.00244
0.000700,-0.00122
0.000704,0.0
0.000708,-0.00122
0.000712,-0.00122
0.000716,-0.00244
0.000720,-0.00122
0.000724,-0.00122
0.000728,-0.00122
0.000732,-0.00366
0.000736,-0.00122
0.000740,-0.00122
0.000744,-0.00244
0.000748,-0.00244
0.000752,-0.00122
0.000756,-0.00122
0.000760,-0.00122
0.000764,-0.00244
0.000768,-0.00122
0.000772,-0.00122
0.000776,-0.00122
0.000780,-0.00244
0.000784,-0.00122
0.000788,-0.00244
0.000792,-0.00366
0.000796,-0.00244
0.000800,-0.008539999999999999
0.000804,-0.00122
0.000808,-0.00122
0.000812,-0.00122
0.000816,-0.00122
0.000820,0.0
0.000824,-0.00122
0.000828,-0.00244
0.000832,-0.00122
0.000836,-0.00122
0.000840,-0.00122
0.000844,-0.00244
0.000848,-0.00122
0.000852,-0.00122
0.000856,-0.00122
0.000860,-0.00122
0.000864,-0.00122
0.000868,-0.00122
0.000872,-0.00122
0.000876,-0.00122
0.000880,-0.00244
0.000884,-0.00122
0.000888,0.0
0.000892,-0.00122
0.000896,-0.00122
0.000900,0.0
0.000904,-0.00122
0.000908,-0.00244
0.000912,-0.00122
0.000916,0.00122
0.000920,-0.00122
0.000924,0.00122
0.000928,-0.00122
0.000932,-0.00122
0.000936,-0.00122
0.000940,-0.00122
0.000944,-0.00366
0.000948,-0.00122
0.000952,-0.00122
0.000956,-0.00122
0.000960,-0.00122
0.000964,-0.00122
0.000968,0.008539999999999999
0.000972,-0.00122
0.000976,-0.00244
0.000980,-0.00122
0.000984,-0.00122
0.000988,-0.00244
0.000992,-0.00122
0.000996,0.0
0.001000,-0.00122
0.001004,-0.00122
0.001008,-0.00122
0.001012,-0.00366
0.001016,-0.00122
0.001020,-0.00122
0.001024,-0.00244
0.001028,-0.00244
0.001032,-0.00122
0.001036,-0.00122
0.001040,-0.00244
0.001044,-0.00122
0.001048,-0.00122
0.001052,-0.00244
0.001056,-0.00244
0.001060,-0.00122
0.001064,-0.00122
0.001068,-0.00366
0.001072,-0.00122
0.001076,-0.00122
0.001080,-0.00122
0.001084,-0.00366
0.001088,0.0
0.001092,-0.00488
0.001096,-0.00122
0.001100,-0.00122
0.001104,-0.00122
0.001108,-0.00122
0.001112,0.0
0.001116,-0.00122
0.001120,-0.00244
0.001124,-0.00122
0.001128,-0.00122
0.001132,-0.00122
0.001136,-0.008539999999999999
0.001140,-0.00122
0.001144,-0.00122
0.001148,-0.00122
0.001152,-0.00244
0.001156,0.0
0.001160,-0.00122
0.001164,-0.00244
0.001168,-0.00122
0.001172,-0.00122
0.001176,-0.00244
0.001180,0.00122
0.001184,-0.00122
0.001188,-0.00122
0.001192,0.0
0.001196,-0.00122
0.001200,-0.00122
0.001204,-0.00122
0.001208,-0.00122
0.001212,-0.00366
0.001216,-0.00122
0.001220,0.00488
0.001224,-0.0060999999999999995
0.001228,-0.00122
0.001232,0.0
0.001236,0.00122
0.001240,-0.00488
0.001244,-0.00244
0.001248,-0.00122
0.001252,0.00122
0.001256,-0.00122
0.001260,0.0060999999999999995
0.001264,-0.00122
0.001268,-0.00122
0.001272,-0.00122
0.001276,-0.00122
0.001280,-0.00244
0.001284,-0.00122
0.001288,-0.00122
0.001292,-0.00122
0.001296,-0.00122
0.001300,-0.00122
0.001304,0.00244
0.001308,-0.00244
0.001312,-0.00122
0.001316,-0.00122
0.001320,-0.00244
0.001324,0.0
